pais_id;pais;provincia_id;provincia;departamento_id;departamento;sup_afectada;uni_med_id;cant_focos;año_inicial;año_final
32;Argentina;90;Tucuman;112;Trancas;;ha;1;2014;2014
32;Argentina;26;Chubut;14;Cushamen;259;ha;17;2011;2012
32;Argentina;26;Chubut;14;Cushamen;19;ha;5;2012;2013
32;Argentina;26;Chubut;14;Cushamen;208;ha;15;2014;2015
32;Argentina;58;Neuquén;7;Aluminé;7;ha;7;2011;2012
32;Argentina;58;Neuquén;7;Aluminé;8;ha;0;2015;2016
32;Argentina;58;Neuquén;49;Huiliches;0;ha;1;2011;2012
32;Argentina;58;Neuquén;49;Huiliches;0;ha;2;2012;2013
32;Argentina;58;Neuquén;49;Huiliches;2;ha;4;2014;2015
32;Argentina;58;Neuquén;56;Lacar;2;ha;21;2011;2012
32;Argentina;62;Río Negro;21;Bariloche;2;ha;90;2011;2012
32;Argentina;26;Chubut;14;Cushamen;2;ha;5;2015;2016
32;Argentina;26;Chubut;35;Futaleufú;12;ha;21;2011;2012
32;Argentina;26;Chubut;35;Futaleufú;2;ha;12;2012;2013
32;Argentina;58;Neuquén;56;Lacar;2;ha;30;2012;2013
32;Argentina;58;Neuquén;56;Lacar;0;ha;8;2014;2015
32;Argentina;58;Neuquén;56;Lacar;0;ha;0;2015;2016
32;Argentina;58;Neuquén;63;Lonco pué;380;ha;1;2011;2012
32;Argentina;62;Río Negro;21;Bariloche;7;ha;101;2012;2013
32;Argentina;62;Río Negro;21;Bariloche;13;ha;167;2013;2014
32;Argentina;26;Chubut;35;Futaleufú;8;ha;36;2014;2015
32;Argentina;26;Chubut;35;Futaleufú;3;ha;10;2015;2016
32;Argentina;26;Chubut;56;Languiñeo;0;ha;1;2011;2012
32;Argentina;58;Neuquén;70;Los Lagos;0;ha;2;2014;2015
32;Argentina;58;Neuquén;77;Minas;0;ha;4;2011;2012
32;Argentina;58;Neuquén;77;Minas;0;ha;1;2012;2013
32;Argentina;58;Neuquén;77;Minas;0;ha;1;2014;2015
32;Argentina;62;Río Negro;21;Bariloche;14;ha;101;2014;2015
32;Argentina;26;Chubut;56;Languiñeo;0;ha;2;2012;2013
32;Argentina;26;Chubut;98;Tehuelches;0;ha;1;2014;2015
32;Argentina;26;Chubut;98;Tehuelches;0;ha;1;2015;2016
32;Argentina;58;Neuquén;84;Ñorquin;241;ha;2;2011;2012
32;Argentina;58;Neuquén;84;Ñorquin;14;ha;2;2012;2013
32;Argentina;62;Río Negro;21;Bariloche;65;ha;84;2015;2016
